Index	N_planet	M_planet_1	M_planet_2	M_planet_3	M_planet_4	sma_1	sma_2	sma_3	sma_4	R_in	R_out	M_star	age_star	R_star	T_star	q	density_profile	sound_speed_profile	inc	az	dist	spatial_resolution	spectral_resolution	beam_angle	rms_noise	position_angle	viscosity	dust	dust_to_gas	dust_mass
1038	2	0.349187	0.086468	0.000000	0.000000	138.254444	59.195001	0.000000	0.000000	18.601106	186.011060	1.884885	0.745364	4.047469	4638.040719	0.000758	0.279825	0.405971	24.181132	248.828736	156.356855	0.451255	0.081867	86.311608	10.738879	116.742803	0.001184	0.000000	0.010000	0.001000
1039	4	0.360002	0.157279	0.018176	0.238787	110.302320	79.349215	134.477619	183.208006	23.378889	233.788888	1.521643	1.377690	2.758962	4565.465414	0.006041	0.575305	0.132314	30.216663	176.816399	151.258423	0.210913	0.141358	13.434922	14.602769	96.074581	0.001012	0.000000	0.010000	0.001000
1040	3	0.290027	0.220013	0.036093	0.000000	142.129897	56.421820	114.832833	0.000000	18.585458	185.854584	0.820629	0.851863	2.606408	4142.738812	0.005180	0.452634	0.672959	52.245290	307.639287	114.619809	0.389173	0.055121	58.490890	16.154075	89.285363	0.001850	0.000000	0.010000	0.001000
1041	2	0.079025	0.366231	0.000000	0.000000	127.754583	54.120894	0.000000	0.000000	17.205104	172.051039	1.043240	2.647500	1.834367	4294.312944	0.008691	0.419939	0.266329	34.081454	224.274019	158.827106	0.493432	0.171622	14.410659	17.015618	85.965914	0.001669	0.000000	0.010000	0.001000
1042	1	0.352673	0.000000	0.000000	0.000000	99.258772	0.000000	0.000000	0.000000	16.813915	168.139153	1.440574	3.470523	1.960566	4577.280326	0.001763	0.857342	0.585370	49.389765	73.711544	123.490549	0.084611	0.145509	8.285982	12.372222	107.285924	0.002167	0.000000	0.010000	0.001000
1043	4	0.060065	0.358122	0.223585	0.191136	95.873607	124.028698	63.930455	151.359899	20.002117	200.021169	1.138639	1.700535	2.242443	4365.331161	0.008057	0.772495	0.709745	42.802787	324.461062	141.636812	0.166394	0.030239	68.316621	9.623358	99.265643	0.001408	0.000000	0.010000	0.001000
1044	2	0.273918	0.020526	0.000000	0.000000	158.726026	66.669822	0.000000	0.000000	20.366370	203.663699	1.760778	1.333699	3.003698	4663.793735	0.005511	0.201153	0.561511	31.876824	250.501592	172.247379	0.077171	0.139128	47.178000	15.757336	67.541081	0.002128	0.000000	0.010000	0.001000
1045	2	0.040601	0.319909	0.000000	0.000000	69.241419	162.636631	0.000000	0.000000	22.081312	220.813115	1.661851	2.565151	2.337213	4682.681438	0.001922	0.877046	0.392444	12.451769	159.282459	199.641215	0.078245	0.072134	29.896656	4.371399	134.033658	0.001909	0.000000	0.010000	0.001000
1046	4	0.028556	0.352658	0.119015	0.256232	111.428210	146.928154	59.602774	98.280535	19.426872	194.268716	0.893433	2.161228	1.843301	4185.982267	0.006869	0.966965	0.637936	73.855460	97.612326	116.056763	0.393114	0.088901	86.429155	10.904185	131.781866	0.000600	0.000000	0.010000	0.001000
1047	4	0.281981	0.062287	0.129095	0.356338	155.674401	113.838461	59.063413	98.108079	19.618159	196.181589	1.858544	2.800604	2.463774	4833.389321	0.009089	0.856078	0.565644	54.575855	203.961590	114.771289	0.464148	0.155589	26.547998	11.545280	12.257780	0.001518	0.000000	0.010000	0.001000
1048	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	21.266579	212.665788	1.719671	4.141740	2.124680	4873.276792	0.009759	0.309450	0.311942	39.989080	230.987390	138.342464	0.136745	0.122925	46.616653	12.284133	166.260596	0.001776	0.000000	0.010000	0.001000
1049	2	0.065290	0.308965	0.000000	0.000000	149.593282	56.718798	0.000000	0.000000	18.720267	187.202673	1.158788	0.870096	2.986007	4366.234141	0.001204	0.914511	0.176710	71.357134	272.050124	134.394604	0.114741	0.196218	85.227270	13.496106	78.080606	0.001880	0.000000	0.010000	0.001000
1050	3	0.036747	0.156532	0.357959	0.000000	100.725200	182.616374	125.050257	0.000000	24.140999	241.409993	0.937450	3.290811	1.622206	4207.979581	0.004176	0.477294	0.497735	11.263265	320.491332	173.735624	0.060104	0.045873	44.144159	15.809089	4.908505	0.001788	0.000000	0.010000	0.001000
1051	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15.979294	159.792937	1.225388	4.953562	1.616582	4431.894738	0.000781	0.386515	0.559258	73.258843	60.251340	126.175387	0.473824	0.034490	21.839928	15.616243	144.017591	0.001837	0.000000	0.010000	0.001000
1052	3	0.365102	0.142575	0.043792	0.000000	125.940289	64.922360	153.778525	0.000000	20.656578	206.565782	0.957304	4.973038	1.423489	4209.204697	0.007730	0.266878	0.545202	33.212536	31.099286	119.426454	0.216773	0.074702	11.102608	5.310642	12.867604	0.001238	0.000000	0.010000	0.001000
1053	2	0.362274	0.054819	0.000000	0.000000	122.275649	56.766949	0.000000	0.000000	15.938129	159.381288	0.857763	3.808006	1.479742	4129.282147	0.008989	0.733271	0.634673	55.421719	75.890292	103.894539	0.475019	0.148243	23.489267	12.330680	114.409139	0.002089	0.000000	0.010000	0.001000
1054	1	0.052097	0.000000	0.000000	0.000000	146.557074	0.000000	0.000000	0.000000	21.970198	219.701982	1.254558	3.694473	1.789785	4440.151499	0.001217	0.701075	0.566783	64.780820	293.348156	142.713975	0.273145	0.042494	1.992259	13.119157	12.613626	0.001730	0.000000	0.010000	0.001000
1055	1	0.144984	0.000000	0.000000	0.000000	189.466378	0.000000	0.000000	0.000000	24.134090	241.340905	1.546035	1.082805	3.049349	4561.713057	0.003080	0.297486	0.551258	75.915780	317.872371	129.633681	0.327109	0.075352	53.302461	10.444195	155.809193	0.000683	0.000000	0.010000	0.001000
1056	4	0.278696	0.097507	0.372044	0.180131	149.596077	126.166062	98.072393	68.903345	18.801641	188.016410	1.689336	1.416885	2.875241	4641.081952	0.003266	0.855099	0.721291	68.788302	79.525352	130.786552	0.137147	0.067397	5.984890	17.419286	124.400354	0.002192	0.000000	0.010000	0.001000
1057	2	0.377003	0.019171	0.000000	0.000000	85.060394	183.861651	0.000000	0.000000	23.108408	231.084078	1.773873	2.623368	2.420976	4760.344037	0.000990	0.144461	0.262381	74.138231	97.059277	153.362523	0.382313	0.104350	36.434324	19.864249	52.900368	0.001714	0.000000	0.010000	0.001000
1058	2	0.341309	0.018562	0.000000	0.000000	155.154139	76.912699	0.000000	0.000000	20.844243	208.442435	0.606456	1.399573	1.880252	3909.488985	0.009736	0.675075	0.372706	38.870745	208.048018	141.525630	0.334864	0.195935	31.192990	14.173492	79.761804	0.002110	0.000000	0.010000	0.001000
1059	3	0.034257	0.253445	0.363483	0.000000	111.480430	167.222319	75.762102	0.000000	21.980489	219.804889	1.560170	3.307144	2.088357	4661.348228	0.003650	0.115182	0.431553	41.571759	238.056181	153.151299	0.264088	0.133501	84.934399	17.503709	79.706973	0.001691	0.000000	0.010000	0.001000
1060	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15.711406	157.114057	1.599010	1.041586	3.156781	4581.387168	0.002938	0.776278	0.153573	42.703250	348.683657	142.989194	0.140983	0.104136	30.512783	11.410204	15.744734	0.000878	0.000000	0.010000	0.001000
1061	2	0.041298	0.369997	0.000000	0.000000	73.511385	171.271224	0.000000	0.000000	21.509484	215.094844	1.701595	3.851680	2.133524	4823.556519	0.004004	0.702512	0.227839	71.505634	237.257953	104.627535	0.219894	0.185495	53.553899	8.984595	165.619093	0.002013	0.000000	0.010000	0.001000
1062	3	0.220751	0.344254	0.050543	0.000000	175.640393	87.838708	108.638640	0.000000	23.081243	230.812428	1.399001	4.339972	1.806277	4570.174523	0.002567	0.527245	0.717382	61.021158	219.358263	134.743938	0.129688	0.180908	7.249250	9.225729	113.298923	0.002425	0.000000	0.010000	0.001000
1063	1	0.092778	0.000000	0.000000	0.000000	75.982328	0.000000	0.000000	0.000000	17.580893	175.808931	1.600745	0.597619	4.089316	4528.705016	0.002637	0.748380	0.539270	38.252914	187.817936	176.278610	0.446013	0.137716	79.510721	19.933678	142.772903	0.002361	0.000000	0.010000	0.001000
1064	2	0.375841	0.025410	0.000000	0.000000	79.372012	168.818544	0.000000	0.000000	22.506554	225.065536	0.597590	4.332457	1.221661	3871.489308	0.003104	0.951614	0.643770	39.192724	174.412870	112.418715	0.304091	0.061309	84.287801	9.056311	28.901537	0.002092	0.000000	0.010000	0.001000
1065	3	0.256012	0.360502	0.022603	0.000000	130.352699	67.080184	93.921307	0.000000	17.383523	173.835227	0.579156	3.388475	1.315916	3855.134126	0.009204	0.838380	0.556266	34.373261	196.332951	135.789752	0.433688	0.194734	38.974763	18.136900	43.143536	0.002464	0.000000	0.010000	0.001000
1066	4	0.128594	0.355868	0.046176	0.252141	164.139510	143.124204	103.038178	81.474221	21.837720	218.377196	0.821696	1.611751	1.982604	4131.962144	0.008035	0.218056	0.132691	33.824820	302.024795	175.227659	0.452896	0.110426	61.624781	8.459951	132.516959	0.001302	0.000000	0.010000	0.001000
1067	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	18.455272	184.552721	0.672490	0.919621	2.651005	3992.194600	0.008563	0.620774	0.391638	28.739230	32.287225	133.131669	0.494854	0.167234	63.197079	6.836307	67.366148	0.002148	0.000000	0.010000	0.001000
1068	2	0.043670	0.282412	0.000000	0.000000	140.651188	67.267733	0.000000	0.000000	17.812582	178.125821	1.697129	4.893930	2.051019	4945.380939	0.003871	0.569614	0.651008	50.765311	304.413496	168.718712	0.189305	0.066558	33.356945	5.377374	132.943468	0.002261	0.000000	0.010000	0.001000
1069	2	0.053382	0.352199	0.000000	0.000000	116.653988	55.003954	0.000000	0.000000	15.010941	150.109410	1.204671	3.253915	1.826547	4405.192478	0.002045	0.502585	0.325422	65.530998	202.756249	118.010127	0.456466	0.053371	43.905560	4.971876	0.057166	0.001190	0.000000	0.010000	0.001000
1070	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15.541096	155.410963	1.948352	3.885475	2.463479	5087.299922	0.005505	0.512945	0.354423	21.472075	269.082447	172.815999	0.367573	0.057355	19.684196	10.689922	106.787455	0.001563	0.000000	0.010000	0.001000
1071	2	0.036634	0.316631	0.000000	0.000000	191.355784	94.512910	0.000000	0.000000	23.995829	239.958293	1.619116	4.681282	1.969762	4816.612924	0.009842	0.170152	0.311008	10.757437	42.145892	105.566681	0.068507	0.126618	61.936241	11.151722	73.817481	0.001147	0.000000	0.010000	0.001000
1072	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.256591	172.565910	0.917533	4.547245	1.438455	4174.702633	0.004697	0.428551	0.585656	56.403364	339.541364	103.936465	0.052834	0.173066	15.760362	8.591371	68.466015	0.002485	0.000000	0.010000	0.001000
1073	1	0.104851	0.000000	0.000000	0.000000	89.507155	0.000000	0.000000	0.000000	21.743511	217.435114	1.685785	1.480885	2.830610	4642.730013	0.003087	0.976829	0.306752	16.981973	139.099420	144.005958	0.445214	0.184022	70.577200	19.106669	146.675294	0.000713	0.000000	0.010000	0.001000
1074	3	0.019195	0.284644	0.209088	0.000000	99.901079	84.325573	160.823742	0.000000	21.046030	210.460303	1.192177	4.759765	1.611189	4401.521100	0.002351	0.203807	0.502858	68.977632	83.090521	122.839600	0.346692	0.059364	41.931722	15.482008	133.586231	0.001622	0.000000	0.010000	0.001000
1075	2	0.372679	0.045865	0.000000	0.000000	128.874537	55.870877	0.000000	0.000000	18.255914	182.559137	1.585420	3.319662	2.107176	4680.429211	0.006996	0.860576	0.178046	23.915200	256.092037	134.081902	0.466724	0.082140	7.058733	12.598573	73.784811	0.002346	0.000000	0.010000	0.001000
1076	3	0.136774	0.371162	0.056835	0.000000	177.127196	129.075589	92.062505	0.000000	22.534236	225.342359	0.760974	0.656005	3.230266	4077.465526	0.008786	0.188624	0.613811	15.979248	202.556723	192.327656	0.258642	0.054984	46.155260	5.768686	161.416308	0.001019	0.000000	0.010000	0.001000
1077	2	0.349452	0.039223	0.000000	0.000000	64.616435	130.158937	0.000000	0.000000	16.851911	168.519115	1.981601	1.775342	2.934120	4788.553617	0.003337	0.987838	0.674477	34.604173	349.463724	133.364324	0.249483	0.050086	3.637529	3.492123	142.508476	0.000641	0.000000	0.010000	0.001000
1078	3	0.367458	0.050922	0.193522	0.000000	84.865164	100.474220	166.044698	0.000000	21.100956	211.009556	0.932644	4.808025	1.422402	4187.995405	0.001927	0.954453	0.672434	48.596636	28.007764	190.223934	0.385047	0.143567	17.375385	3.739036	163.485977	0.000555	0.000000	0.010000	0.001000
1079	1	0.109656	0.000000	0.000000	0.000000	151.852864	0.000000	0.000000	0.000000	21.085358	210.853576	0.737993	4.435624	1.339836	4012.630100	0.006761	0.608535	0.575967	78.704168	71.709378	177.061993	0.177556	0.074362	73.501194	2.999802	50.612173	0.001134	0.000000	0.010000	0.001000
1080	4	0.367409	0.269712	0.020159	0.171437	116.634487	70.416420	87.618915	130.577537	18.850066	188.500661	1.812848	0.933961	3.523205	4648.864654	0.007446	0.433664	0.388249	44.045708	166.486220	118.950929	0.296621	0.120424	5.743192	14.958532	79.945823	0.000670	0.000000	0.010000	0.001000
1081	3	0.161746	0.336557	0.068822	0.000000	75.235577	143.839137	181.570417	0.000000	24.680655	246.806550	1.951492	3.768677	2.469271	5065.502365	0.002053	0.314026	0.561386	29.048262	204.433693	142.451425	0.317179	0.063982	70.217582	2.321265	155.177089	0.000781	0.000000	0.010000	0.001000
1082	2	0.033413	0.302928	0.000000	0.000000	173.803981	72.283599	0.000000	0.000000	22.717552	227.175520	0.871235	4.928698	1.364046	4130.600328	0.001331	0.339399	0.232143	35.266139	229.173083	190.063894	0.497741	0.150668	2.696179	6.377457	145.281837	0.001477	0.000000	0.010000	0.001000
1083	3	0.364149	0.032336	0.256077	0.000000	97.216840	116.084157	181.743098	0.000000	23.233531	232.335311	1.216998	2.862564	1.916484	4409.747898	0.001321	0.633654	0.296922	13.225744	337.201806	199.888073	0.157398	0.056530	21.381407	10.358332	176.790515	0.001867	0.000000	0.010000	0.001000
1084	4	0.085374	0.342697	0.126940	0.272389	100.605731	133.198679	165.182205	79.526956	21.547473	215.474733	1.333481	2.466892	2.104089	4480.950044	0.005070	0.933519	0.131075	77.439271	30.256440	168.126481	0.284018	0.136395	42.054970	10.050005	59.803692	0.001871	0.000000	0.010000	0.001000
1085	2	0.338660	0.026409	0.000000	0.000000	124.978675	63.385481	0.000000	0.000000	17.026609	170.266094	0.814573	1.504958	2.024602	4127.541724	0.000574	0.738382	0.475255	48.681822	181.387758	112.711849	0.162940	0.159737	10.970455	13.011775	38.555638	0.000619	0.000000	0.010000	0.001000
1086	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	19.626300	196.262996	1.401297	1.281646	2.699908	4509.410849	0.007580	0.320521	0.500320	72.900303	287.798362	194.806671	0.366661	0.078142	49.764010	17.992272	177.976006	0.001122	0.000000	0.010000	0.001000
1087	1	0.235854	0.000000	0.000000	0.000000	138.577136	0.000000	0.000000	0.000000	24.324765	243.247651	1.718027	4.784746	2.084979	4958.476194	0.007209	0.573086	0.498645	44.466985	351.637556	197.940231	0.307828	0.108930	37.914045	9.651336	168.957739	0.002024	0.000000	0.010000	0.001000
1088	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	24.575877	245.758771	1.534320	3.998270	1.961742	4679.272816	0.009165	0.362452	0.449481	55.251939	6.796424	117.084946	0.153633	0.033298	31.596456	17.248328	175.662468	0.000567	0.000000	0.010000	0.001000
1089	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.699742	176.997416	1.976690	4.414424	2.579991	5257.574558	0.006693	0.490310	0.538169	68.372722	131.227451	158.102215	0.178133	0.115498	87.176436	2.158370	8.598307	0.001455	0.000000	0.010000	0.001000
